step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds
0,,1.0,100.0,0.0
1,"(512, 150)",0.996215307069475,99.91869918699187,19.169
2,"(232, 398)",0.9942539731253589,99.83739837398375,18.9299
3,"(450, 451)",0.9937877609965667,99.7560975609756,19.558
4,"(215, 167)",0.9944542588166622,99.67479674796748,19.3425
5,"(448, 493)",0.9948137310432028,99.59349593495935,19.2271
6,"(226, 227)",0.9915893557004694,99.51219512195122,19.3025
7,"(291, 292)",0.9867980879170393,99.43089430894308,19.4878
8,"(163, 164)",0.9779222884407877,99.34959349593497,19.6137
9,"(422, 182)",0.975154524944552,99.26829268292683,20.2193
10,"(210, 209)",0.9702126152977029,99.1869918699187,20.424
11,"(443, 442)",0.9702637934264444,99.10569105691057,19.6835
12,"(214, 215)",0.9666243512393264,99.02439024390245,19.5811
13,"(386, 387)",0.9682283497462949,98.9430894308943,19.4854
14,"(148, 149)",0.9550741526666717,98.86178861788618,19.691
15,"(206, 205)",0.9497229333040127,98.78048780487805,19.5809
16,"(457, 38)",0.947003681615021,98.69918699186991,19.6898
17,"(268, 269)",0.9435372016062454,98.6178861788618,19.3412
18,"(36, 35)",0.9320124400054756,98.53658536585365,19.3691
19,"(259, 260)",0.9290205321518669,98.45528455284553,18.951
20,"(458, 392)",0.9285970695916298,98.3739837398374,18.4539
21,"(544, 490)",0.9281816400163935,98.29268292682927,19.2774
22,"(273, 38)",0.9264702169011939,98.21138211382113,19.0809
23,"(348, 347)",0.9274371424052266,98.130081300813,19.0923
24,"(36, 37)",0.9019955660341721,98.04878048780488,19.1346
25,"(483, 484)",0.9022676521496222,97.96747967479675,19.3769
26,"(422, 421)",0.9012015504462438,97.88617886178862,18.9964
27,"(374, 373)",0.8985404667487986,97.80487804878048,19.69
28,"(152, 151)",0.8658367527468103,97.72357723577237,19.6306
29,"(287, 288)",0.8568978692400107,97.64227642276423,19.1263
30,"(220, 219)",0.8394114927273509,97.5609756097561,19.303
31,"(235, 484)",0.8371780435829018,97.47967479674797,19.3191
32,"(36, 199)",0.8322068491899053,97.39837398373984,19.1807
33,"(403, 105)",0.831199194287353,97.3170731707317,19.1421
34,"(386, 385)",0.8312216689454698,97.23577235772358,19.7514
35,"(109, 108)",0.8253156989728028,97.15447154471545,19.2209
36,"(142, 141)",0.8236982468689973,97.07317073170731,19.4899
37,"(426, 344)",0.8112137695492457,96.9918699186992,19.1171
38,"(90, 91)",0.8097607911578797,96.91056910569105,19.2954
