step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds
0,,1.0,100.0,0.0
1,"(52, 51)",0.9381599089098833,99.88290398126463,2044.8268
2,"(51, 52)",0.8767778285222776,99.76580796252928,1810.7196
3,"(31, 9)",0.8406484916482109,99.64871194379391,1586.7274
4,"(67, 349)",0.8072957981001528,99.53161592505855,1531.1344
5,"(349, 67)",0.7760526547215095,99.41451990632318,1400.7666
6,"(9, 31)",0.7465930753342801,99.29742388758783,1295.4506
7,"(153, 116)",0.7278925699804469,99.18032786885246,1245.9326
8,"(194, 193)",0.71253543092538,99.06323185011709,1267.3553
9,"(90, 383)",0.7001840971462797,98.94613583138174,1283.3435
10,"(5, 8)",0.6864247799377604,98.82903981264637,1313.2652
11,"(147, 146)",0.670534689014856,98.711943793911,1319.8708
12,"(75, 123)",0.6555203962118245,98.59484777517564,1336.9826
13,"(191, 190)",0.63768414010924,98.47775175644028,1323.5179
14,"(180, 348)",0.6252827020414896,98.36065573770492,1240.6094
15,"(3, 229)",0.6130348642308195,98.24355971896955,1122.4297
16,"(3, 4)",0.5762017614039303,98.12646370023418,1115.3273
17,"(229, 3)",0.5642032630068513,98.00936768149883,973.0003
18,"(4, 3)",0.5018389124267983,97.89227166276346,957.6518
19,"(383, 90)",0.4869396071169591,97.7751756440281,764.8693
20,"(153, 152)",0.47532733525411325,97.65807962529274,784.2087
21,"(193, 298)",0.4659732215546922,97.54098360655738,709.5133
22,"(39, 40)",0.4576332138508727,97.42388758782201,683.1957
23,"(246, 111)",0.433569075427043,97.30679156908664,696.2564
24,"(40, 39)",0.42542654936973456,97.18969555035129,642.221
25,"(111, 246)",0.40219957575558146,97.07259953161592,645.7319
26,"(206, 207)",0.39619561076593707,96.95550351288055,579.5575
27,"(53, 52)",0.38840515716950946,96.8384074941452,575.5185
28,"(210, 90)",0.3819700959831524,96.72131147540983,570.1319
29,"(113, 90)",0.3623491238505515,96.60421545667447,569.1585
30,"(9, 213)",0.35605375251569754,96.4871194379391,563.611
31,"(95, 94)",0.3300284951430645,96.37002341920375,553.0576
32,"(207, 206)",0.32280250922005127,96.25292740046838,444.2708
33,"(10, 11)",0.31749140159816014,96.13583138173301,430.1817
34,"(214, 52)",0.3124997236810483,96.01873536299766,425.0297
35,"(45, 373)",0.3079638565859873,95.90163934426229,417.3827
36,"(7, 261)",0.30347416471828303,95.78454332552693,409.7341
37,"(373, 45)",0.2990832837318497,95.66744730679156,407.9487
38,"(298, 193)",0.2948830427360188,95.5503512880562,403.6466
39,"(90, 113)",0.29080297180334813,95.43325526932084,394.6529
