step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds,removed_node_names
0,,1.0,100.0,0.0,
1,36.0,0.9276782294026482,99.82142857142857,14.2525,Louvain
2,38.0,0.8809539678540653,99.64285714285714,14.4374,Liège-Guillemins
3,120.0,0.8554282693985767,99.46428571428572,14.3457,Malines
4,0.0,0.8382279665694289,99.28571428571429,14.5076,Courtrai
5,15.0,0.7832086484837644,99.10714285714286,14.1509,Gand-Saint-Pierre
6,22.0,0.700011729369982,98.92857142857143,13.1031,Bruxelles-Midi
7,27.0,0.7166710016233196,98.75,12.197,Schaerbeek
8,164.0,0.6558515866592035,98.57142857142858,11.5045,Charleroi-Central
9,172.0,0.6121315686844554,98.39285714285715,11.2035,Hasselt
10,228.0,0.4316954926208295,98.21428571428571,5.7297,Ottignies
