step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds,removed_node_names
0,,1.0,100.0,0.0,
1,26.0,0.8737119301301082,99.82142857142857,12.8569,Bruxelles-Nord
2,23.0,0.8585795572860013,99.64285714285714,11.5587,Bruxelles-Chapelle
3,24.0,0.8581609934278496,99.46428571428572,11.3745,Bruxelles-Central
4,25.0,0.8581609934278496,99.28571428571429,11.5153,Bruxelles-Congrès
5,22.0,0.7979386189336427,99.10714285714286,11.1274,Bruxelles-Midi
6,174.0,0.7552202418212302,98.92857142857143,10.4392,Anvers-Berchem
7,27.0,0.7976806534107121,98.75,10.8209,Schaerbeek
8,175.0,0.7922411015267429,98.57142857142858,10.8032,Mortsel
9,15.0,0.7573068467425982,98.39285714285715,10.4388,Gand-Saint-Pierre
10,173.0,0.7568023513519108,98.21428571428571,10.6728,Anvers-Central
