step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds,removed_node_names
0,,1.0,100.0,0.0,
1,9.0,0.8991382566597751,99.74358974358975,2.3935,Utrecht Centraal
2,40.0,0.858633516345956,99.48717948717949,2.5504,Amsterdam Sloterdijk
3,21.0,0.852513392994026,99.23076923076923,2.4843,Amsterdam Centraal
4,76.0,0.8153933028527263,98.97435897435898,2.3599,Schiphol Airport
5,24.0,0.7774146722077929,98.71794871794873,2.6533,Duivendrecht
6,22.0,0.7699522681750328,98.46153846153847,2.7782,Amsterdam Muiderpoort
7,96.0,0.7529583168844043,98.2051282051282,2.5842,Weesp
8,31.0,0.7382313932921097,97.94871794871794,2.5073,Utrecht Vaartsche Rijn
9,3.0,0.5657689459105264,97.6923076923077,1.5594,Rotterdam Centraal
10,28.0,0.5554645232155305,97.43589743589743,1.3749,Breukelen
